"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Curacao","CUW","Urban population","SP.URB.TOTL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129469","125761","121481","117318","117075","119145","120900","123767","126772","129134","130707","131351","134238","135212","136321","137439","",
"Cayman Islands","CYM","Urban population","SP.URB.TOTL","7867","8026","8142","8228","8299","8371","8442","8518","8632","8831","9144","9583","10137","10785","11494","12238","13020","13840","14663","15447","16164","16795","17357","17911","18543","19315","20254","21343","22539","23776","25009","26211","27402","28652","30055","31672","33535","35596","37742","39810","41685","43317","44742","46032","47299","48623","50026","51472","52912","54275","55509","56601","57570","58435","",
"Cyprus","CYP","Urban population","SP.URB.TOTL","204123","208511","211862","214845","218033","221861","226504","231850","237757","243914","250117","256310","262548","271554","289096","307185","325890","345030","364357","383378","401744","419079","435529","442972","448297","455135","463748","473988","485670","498402","511912","526175","541230","555090","568561","581990","595213","608219","621145","634211","647548","661201","673117","684256","694922","704926","714164","722713","730686","738250","745550","752597","759373","766099","",
"Czech Republic","CZE","Urban population","SP.URB.TOTL","5717803","5758030","5828213","5903373","5985712","6064767","6137954","6205159","6267134","6326884","6348795","6416419","6560396","6712314","6871460","7032685","7191239","7343835","7491275","7633521","7745353","7774989","7782743","7786562","7788361","7790569","7791420","7792255","7795245","7796600","7772750","7747721","7742438","7737165","7726630","7708571","7686196","7664419","7643675","7622397","7587516","7547721","7526242","7517054","7512306","7515659","7528974","7565828","7621676","7657912","7673029","7681562","7684960","7686985","",
"Germany","DEU","Urban population","SP.URB.TOTL","51978188","52609561","53122383","53664331","54147106","54659677","55166778","55468832","55765529","56259360","56496072","56645245","56961784","57186457","57253758","57085531","56885943","56801863","56796181","56865826","57028530","57229147","57267174","57114118","56792461","56485448","56438249","56204314","57044790","57469536","58079842","58625381","59146205","59553351","59729328","59858576","59987869","60024842","59979781","59985722","60069483","60208501","60360131","60442253","60475342","60495445","60541749","60626203","60675256","60683876","60752899","60929451","60068439","60377657","",
"Djibouti","DJI","Urban population","SP.URB.TOTL","42090","45531","49567","54122","59120","64505","70353","76743","83629","90927","98637","106499","114646","123940","135633","150562","169546","192142","216391","239375","259003","273885","284813","293131","302767","317852","339562","366575","396168","424311","448089","466266","479337","489173","497781","506631","516023","525505","535013","544307","553240","561877","570415","578924","587473","596114","604889","613817","622959","632376","642174","652366","662938","673781","",
"Dominica","DMA","Urban population","SP.URB.TOTL","22714","23140","23541","23939","24362","24832","25360","25932","26499","26995","27494","28247","28884","29459","30063","30762","31590","32519","33493","34416","35216","36024","37226","38315","39327","40288","41202","42059","42901","43778","44741","45685","45830","46038","46209","46268","46187","45995","45756","45561","45476","45545","45855","46234","46625","46982","47294","47576","47847","48135","48460","48830","49233","49660","",
"Denmark","DNK","Urban population","SP.URB.TOTL","3374572","3431879","3490118","3548824","3608088","3666724","3723679","3779458","3828566","3875429","3930043","3982363","4029765","4078304","4121150","4156474","4189964","4217587","4245152","4269868","4289152","4297767","4300240","4302863","4306181","4313449","4324701","4335668","4343212","4351259","4361727","4374504","4390390","4406442","4422754","4447268","4473929","4493986","4511769","4528106","4544013","4563004","4582981","4601394","4624434","4652908","4681382","4712839","4751268","4785983","4815111","4844002","4872608","4902113","",
"Dominican Republic","DOM","Urban population","SP.URB.TOTL","1001120","1066486","1136230","1209459","1286220","1366347","1449927","1536919","1627447","1721304","1819022","1920735","2025980","2134532","2246476","2361640","2480083","2601468","2726335","2854865","2987485","3124003","3236254","3327558","3420283","3514185","3609205","3705347","3802681","3901261","4001194","4102554","4205067","4308234","4446077","4594989","4744249","4893790","5044081","5195697","5349316","5504489","5661471","5859709","6076416","6294062","6512732","6732049","6951597","7170145","7387588","7603494","7814240","8019427","",
"Algeria","DZA","Urban population","SP.URB.TOTL","3440844","3675940","3934174","4206709","4497088","4807419","5096939","5264205","5439417","5619580","5802888","5988706","6178542","6373760","6576559","6788957","7010621","7288678","7661064","8057153","8479893","8930166","9407878","9909055","10428226","10959459","11501343","12045526","12579730","13120282","13666952","14218949","14774536","15328694","15876980","16415780","16944318","17461995","17972320","18489920","19005977","19519028","20032707","20555864","21101059","21677244","22289245","22935216","23613402","24312050","25027040","25757739","26502350","27253616","",
